[Connect DataFile][1.1]
Date:;04/06/2025
Time:;14:48:53,583
Unit:;°C
Resolution:;0,05
Values:;5
Time;Head;1;2;3;4;
00:00:00,000;440,1;445,5;470,1;472,5;489,9;
00:00:00,050;456,5;463,7;465,8;475,3;478,6;
00:00:00,100;433,0;476,9;485,4;474,1;431,3;
00:00:00,150;154,3;440,8;358,3;282,2;157,4;
00:00:00,200;135,2;156,5;144,6;140,9;138,7;
00:00:00,250;133,9;141,2;139,8;139,0;136,7;
00:00:00,300;132,7;139,0;138,1;136,9;136,7;
00:00:00,350;131,8;137,5;138,5;136,7;135,4;
00:00:00,400;131,0;138,0;137,2;135,9;135,9;
00:00:00,450;131,5;138,2;137,5;137,7;136,2;
00:00:00,500;132,3;139,5;139,1;139,3;137,2;
00:00:00,550;133,1;140,7;140,7;140,9;138,2;
00:00:00,600;134,2;142,1;142,2;141,8;139,9;
00:00:00,650;135,2;143,4;143,7;142,7;141,5;
00:00:00,700;140,5;426,2;405,2;335,9;161,5;
00:00:00,750;288,9;458,3;453,3;416,4;320,9;
00:00:00,800;437,3;490,3;501,3;496,8;480,3;
00:00:00,850;474,8;482,2;480,3;486,7;504,9;
00:00:00,900;471,1;474,2;481,9;492,5;509,5;
00:00:00,950;467,3;466,2;483,4;498,3;514,1;
00:00:01,000;442,9;466,1;483,6;482,5;493,1;
00:00:01,050;367,2;465,1;477,2;483,1;491,5;
00:00:01,100;291,4;464,0;470,8;483,6;489,8;
00:00:01,150;289,1;464,0;469,0;480,4;479,0;
00:00:01,200;299,7;456,5;462,6;473,4;471,9;
00:00:01,250;196,3;442,8;450,3;472,1;474,6;
00:00:01,300;307,5;441,4;449,0;468,3;469,6;
00:00:01,350;315,6;448,8;476,5;481,3;510,8;
00:00:01,400;234,2;458,0;483,0;484,3;508,3;
00:00:01,450;288,6;452,5;482,1;480,9;505,0;
00:00:01,500;210,4;447,9;448,8;465,8;474,0;
00:00:01,550;310,0;464,9;489,0;500,2;523,8;
00:00:01,600;180,7;461,3;472,2;483,1;511,1;
00:00:01,650;213,8;453,1;462,4;477,8;489,5;
00:00:01,700;315,2;462,6;480,4;492,0;522,9;
00:00:01,750;313,3;465,7;483,7;488,6;518,5;
00:00:01,800;265,7;447,1;456,8;474,6;474,0;
