[Connect DataFile][1.1]
Date:;03/06/2025
Time:;10:07:42,658
Unit:;°C
Resolution:;0,05
Values:;5
Time;Head;1;2;3;4;
00:00:00,000;125,0;247,8;565,7;571,6;581,2;
00:00:00,050;125,0;125,0;561,0;571,4;583,5;
00:00:00,100;125,0;125,0;554,3;571,1;560,2;
00:00:00,150;125,0;125,0;548,2;562,2;564,7;
00:00:00,200;125,0;125,0;540,9;560,6;563,4;
00:00:00,250;125,0;125,0;539,6;561,9;565,3;
00:00:00,300;125,0;125,0;537,4;564,4;567,5;
00:00:00,350;125,0;125,0;537,0;561,4;568,6;
00:00:00,400;125,0;125,0;535,8;559,3;564,3;
00:00:00,450;125,0;125,0;533,7;556,2;564,2;
00:00:00,500;125,0;125,0;526,9;560,4;562,9;
00:00:00,550;125,0;125,0;535,4;552,7;563,4;
00:00:00,600;125,0;125,0;536,8;560,4;568,4;
00:00:00,650;125,0;125,0;539,4;561,9;569,7;
00:00:00,700;125,0;125,0;539,4;561,9;569,7;
00:00:00,750;125,0;125,0;539,4;561,9;569,7;
00:00:00,800;125,0;125,0;539,4;561,9;569,7;
00:00:00,850;125,0;125,0;539,4;561,9;569,7;
00:00:00,900;125,0;125,0;539,4;561,9;569,7;
00:00:00,950;125,0;125,0;539,4;561,9;569,7;
00:00:01,000;125,0;125,0;539,4;561,9;569,7;
00:00:01,050;125,0;125,0;539,4;561,9;569,7;
00:00:01,100;125,0;125,0;539,4;561,9;569,7;
00:00:01,150;125,0;125,0;539,4;561,9;569,7;
00:00:01,200;125,0;125,0;539,4;561,9;569,7;
00:00:01,250;125,0;125,0;539,4;561,9;569,7;
00:00:01,300;125,0;125,0;539,4;561,9;569,7;
00:00:01,350;125,0;125,0;539,4;561,9;569,7;
00:00:01,400;125,0;125,0;539,4;561,9;569,7;
00:00:01,450;125,0;125,0;539,4;561,9;569,7;
00:00:01,500;125,0;125,0;539,4;561,9;569,7;
00:00:01,550;125,0;125,0;539,4;561,9;569,7;
00:00:01,600;125,0;125,0;539,4;561,9;569,7;
00:00:01,650;125,0;125,0;539,4;561,9;569,7;
00:00:01,700;125,0;125,0;539,4;561,9;569,7;
00:00:01,750;125,0;125,0;532,1;550,8;561,2;
00:00:01,800;125,0;125,0;521,0;545,9;556,2;
00:00:01,850;125,0;125,0;526,9;549,0;560,3;
00:00:01,900;125,0;125,0;532,6;549,5;561,8;
00:00:01,950;125,0;125,0;535,1;546,2;547,7;
00:00:02,000;125,0;125,0;527,7;544,1;550,5;
00:00:02,050;125,0;125,0;528,8;544,1;552,4;
00:00:02,100;125,0;125,0;526,8;547,9;555,4;
00:00:02,150;125,0;125,0;526,8;547,9;555,4;
00:00:02,200;125,0;125,0;520,2;543,4;551,1;
00:00:02,250;125,0;125,0;523,6;542,1;547,1;
00:00:02,300;125,0;125,0;520,6;544,4;552,7;
00:00:02,350;125,0;125,0;521,7;542,2;549,2;
00:00:02,400;125,0;125,0;523,4;545,0;553,8;
00:00:02,450;125,0;125,0;528,0;548,8;557,1;
00:00:02,500;125,0;125,0;531,2;545,6;561,0;
00:00:02,550;125,0;125,0;530,0;549,3;545,2;
00:00:02,600;125,0;125,0;526,7;542,9;549,6;
00:00:02,650;558,2;125,0;523,6;541,4;548,0;
00:00:02,700;591,7;125,0;522,8;542,5;549,5;
00:00:02,750;617,5;125,0;521,1;543,3;548,6;
00:00:02,800;730,6;125,0;515,3;539,7;549,9;
00:00:02,850;734,5;184,8;517,7;538,3;542,3;
00:00:02,900;664,2;151,0;515,7;536,7;547,7;
00:00:02,950;605,7;125,0;511,2;540,6;540,4;
00:00:03,000;614,7;125,0;517,7;538,7;548,5;
00:00:03,050;622,1;125,0;524,6;544,6;550,2;
00:00:03,100;314,8;503,2;517,6;513,2;560,2;
00:00:03,150;344,6;504,1;519,3;515,8;560,8;
00:00:03,200;374,3;504,9;520,9;518,3;561,4;
00:00:03,250;371,7;493,2;507,2;513,2;556,4;
00:00:03,300;262,1;496,8;515,4;527,7;562,3;
00:00:03,350;369,5;494,9;506,9;521,1;553,0;
00:00:03,400;373,9;488,5;503,9;519,2;548,3;
00:00:03,450;335,9;479,5;503,4;514,4;543,3;
00:00:03,500;151,4;498,9;522,6;514,7;544,2;
00:00:03,550;368,5;495,1;515,0;507,5;546,4;
00:00:03,600;372,3;489,8;517,4;511,8;555,8;
00:00:03,650;356,4;504,9;530,6;519,9;565,3;
00:00:03,700;156,7;520,4;541,8;527,0;568,4;
00:00:03,750;363,6;498,6;518,5;512,0;557,2;
00:00:03,800;384,5;496,2;517,9;510,6;557,4;
00:00:03,850;377,3;488,1;507,2;508,3;550,5;
00:00:03,900;215,9;492,7;515,1;523,3;559,0;
00:00:03,950;379,4;486,4;504,6;517,3;546,5;
00:00:04,000;368,5;480,8;499,4;513,0;542,9;
00:00:04,050;368,5;480,8;499,4;513,0;542,9;
00:00:04,100;151,0;490,0;522,0;518,3;543,2;
00:00:04,150;323,7;489,9;512,0;506,3;545,3;
00:00:04,200;366,3;486,3;515,2;511,6;552,9;
00:00:04,250;361,1;493,8;518,1;513,6;559,0;
00:00:04,300;361,1;493,8;518,1;513,6;559,0;
00:00:04,350;352,4;498,3;514,0;508,6;555,0;
00:00:04,400;368,9;500,4;516,5;514,1;557,0;
00:00:04,450;363,9;490,6;506,7;510,2;553,0;
00:00:04,500;357,2;491,1;512,7;527,3;561,0;
00:00:04,550;357,2;491,1;512,7;527,3;561,0;
00:00:04,600;341,1;486,4;499,4;516,7;545,8;
00:00:04,650;361,2;472,3;486,9;506,6;535,6;
00:00:04,700;360,0;473,5;507,5;515,7;541,3;
00:00:04,750;256,2;492,9;511,8;509,6;540,8;
00:00:04,800;362,9;487,6;511,4;508,2;549,7;
00:00:04,850;360,3;484,8;511,1;511,2;553,8;
00:00:04,900;344,1;509,2;528,1;521,2;562,6;
00:00:04,950;359,2;499,2;515,1;513,4;554,9;
00:00:05,000;360,3;495,3;511,4;510,7;552,8;
00:00:05,050;361,4;491,4;507,6;508,0;550,7;
00:00:05,100;358,2;483,0;502,1;515,0;555,4;
00:00:05,150;227,9;489,9;505,5;521,8;550,4;
00:00:05,200;354,2;485,3;498,8;516,5;544,2;
00:00:05,250;357,8;474,7;488,0;508,3;534,7;
00:00:05,300;356,8;476,7;502,7;512,0;538,4;
00:00:05,350;152,3;481,6;501,0;505,6;537,7;
00:00:05,400;345,1;488,2;506,6;506,9;544,8;
00:00:05,450;358,4;485,5;510,6;510,8;551,8;
00:00:05,500;355,8;507,9;526,7;521,7;562,2;
00:00:05,550;256,6;508,6;511,7;508,3;552,0;
00:00:05,600;290,1;494,2;507,6;508,4;550,4;
00:00:05,650;353,8;490,0;506,9;508,2;548,6;
00:00:05,700;356,4;479,4;496,0;503,0;545,9;
00:00:05,750;356,1;483,3;506,6;515,8;546,7;
00:00:05,800;285,9;469,7;487,9;499,2;526,3;
00:00:05,850;231,9;456,5;484,5;497,7;517,1;
00:00:05,900;249,3;443,5;471,3;485,1;502,4;
00:00:05,950;136,8;391,2;457,7;494,2;503,4;
00:00:06,000;130,9;300,3;412,3;489,8;502,6;
00:00:06,050;125,0;209,4;366,8;485,4;501,8;
00:00:06,100;125,0;176,8;443,7;483,4;490,0;
00:00:06,150;125,0;442,3;475,3;477,4;489,8;
00:00:06,200;125,0;500,9;486,9;487,9;501,8;
00:00:06,250;125,0;494,1;500,8;505,2;514,8;
00:00:06,300;125,0;321,0;478,8;516,8;519,8;
00:00:06,350;125,0;130,0;141,7;280,7;534,3;
00:00:06,400;125,0;126,1;131,0;133,9;223,1;
00:00:06,450;125,0;125,1;127,0;132,6;127,4;
00:00:06,500;440,9;125,3;125,3;127,2;130,5;
00:00:06,550;554,7;125,0;125,3;125,6;136,2;
00:00:06,600;561,6;126,4;125,1;126,7;125,7;
00:00:06,650;523,4;131,0;126,9;126,4;125,0;
00:00:06,700;527,7;138,6;128,7;125,6;125,0;
00:00:06,750;513,4;501,7;170,2;129,6;126,4;
00:00:06,800;479,5;573,9;528,9;138,1;128,5;
00:00:06,850;161,8;575,9;579,2;314,0;130,3;
00:00:06,900;476,4;558,7;573,2;551,7;180,3;
00:00:06,950;510,5;538,3;552,8;565,5;547,0;
00:00:07,000;480,4;531,3;546,4;567,8;554,9;
00:00:07,050;450,2;524,2;540,0;570,0;562,8;
00:00:07,100;405,2;527,7;536,9;563,0;567,8;
00:00:07,150;309,6;527,2;534,8;550,8;570,4;
00:00:07,200;388,8;530,1;533,6;552,6;580,5;
00:00:07,250;387,7;530,8;537,5;556,9;585,5;
00:00:07,300;384,7;526,0;542,5;557,6;582,1;
00:00:07,350;188,2;524,1;525,4;533,7;571,5;
00:00:07,400;359,1;523,5;526,9;538,1;573,2;
00:00:07,450;389,1;518,8;528,4;544,3;572,2;
00:00:07,500;389,1;520,2;529,3;547,8;576,5;
00:00:07,550;393,8;531,5;531,2;548,8;575,1;
00:00:07,600;282,1;518,1;529,4;544,7;566,3;
00:00:07,650;387,3;516,6;527,4;547,4;570,8;
00:00:07,700;388,9;519,8;521,2;542,2;568,7;
00:00:07,750;366,1;526,6;532,7;546,6;570,5;
00:00:07,800;270,3;523,6;525,7;544,0;570,4;
00:00:07,850;384,7;527,6;533,1;552,6;577,3;
00:00:07,900;386,9;523,9;541,5;557,7;578,8;
00:00:07,950;171,7;514,9;516,8;534,3;567,0;
00:00:08,000;277,9;516,0;521,8;538,9;567,0;
00:00:08,050;384,0;517,1;526,8;543,4;566,9;
00:00:08,100;384,0;517,1;526,8;543,4;566,9;
00:00:08,150;372,4;523,5;524,6;544,1;568,9;
00:00:08,200;304,0;516,2;530,5;542,1;561,0;
00:00:08,250;381,0;514,0;529,1;544,9;566,4;
00:00:08,300;381,1;517,8;521,4;540,5;567,0;
00:00:08,350;381,1;517,8;521,4;540,5;567,0;
00:00:08,400;196,6;515,3;519,1;535,1;564,1;
00:00:08,450;378,7;523,2;530,6;549,7;575,9;
00:00:08,500;379,4;517,9;538,0;555,3;577,1;
00:00:08,550;379,0;520,5;541,4;549,1;572,2;
00:00:08,600;379,0;520,5;541,4;549,1;572,2;
00:00:08,650;380,7;512,3;524,2;538,2;564,1;
00:00:08,700;378,6;508,9;519,7;537,7;564,6;
00:00:08,750;383,3;519,6;525,7;543,2;569,7;
00:00:08,800;179,7;509,8;521,2;536,9;558,4;
00:00:08,850;179,7;509,8;521,2;536,9;558,4;
00:00:08,900;381,0;511,3;519,7;539,2;564,1;
00:00:08,950;224,9;511,5;521,2;535,3;562,1;
00:00:09,000;293,5;515,6;523,6;539,5;566,1;
00:00:09,050;362,0;519,7;525,9;543,7;570,1;
00:00:09,100;362,0;519,7;525,9;543,7;570,1;
00:00:09,150;374,9;517,7;537,2;545,9;570,0;
00:00:09,200;204,9;510,4;512,9;527,8;561,4;
00:00:09,250;374,8;513,2;524,5;536,3;562,3;
00:00:09,300;375,9;507,3;520,5;537,2;562,9;
00:00:09,350;375,9;507,3;520,5;537,2;562,9;
00:00:09,400;228,0;508,4;513,9;531,8;557,7;
00:00:09,450;354,6;507,8;524,0;537,4;558,8;
00:00:09,500;372,8;506,7;511,5;530,5;561,2;
00:00:09,550;372,7;516,4;521,9;538,4;564,3;
00:00:09,600;274,2;513,5;521,6;535,6;561,1;
00:00:09,650;370,6;517,6;524,5;542,2;568,1;
00:00:09,700;372,6;518,9;530,0;548,0;572,1;
00:00:09,750;373,5;513,5;535,5;547,0;569,8;
00:00:09,800;176,6;503,8;509,8;524,1;559,3;
00:00:09,850;363,4;510,5;520,1;530,4;559,9;
00:00:09,900;371,8;504,6;517,3;532,5;558,9;
00:00:09,950;366,5;517,9;520,9;535,6;560,6;
00:00:10,000;323,0;511,8;520,9;534,3;557,6;
00:00:10,050;279,4;505,7;520,9;533,0;554,6;
00:00:10,100;370,7;501,3;515,7;533,5;558,4;
00:00:10,150;373,2;511,0;520,3;536,2;559,9;
00:00:10,200;213,7;499,9;513,3;528,7;555,5;
00:00:10,250;335,6;512,0;518,3;535,4;563,0;
00:00:10,300;368,8;513,6;527,1;544,7;569,3;
00:00:10,350;367,9;508,8;534,3;544,9;566,9;
00:00:10,400;280,4;512,9;523,9;530,7;558,8;
00:00:10,450;342,3;505,0;514,7;525,4;556,5;
00:00:10,500;365,9;500,1;512,0;527,6;554,8;
00:00:10,550;367,5;507,1;517,4;532,7;562,3;
00:00:10,600;174,7;497,5;508,6;525,7;551,7;
00:00:10,650;342,0;503,1;521,2;531,1;551,4;
00:00:10,700;367,2;499,2;507,0;526,1;554,4;
00:00:10,750;366,0;509,3;518,0;534,2;558,0;
00:00:10,800;358,1;510,6;524,5;534,8;557,5;
00:00:10,850;363,6;510,2;519,0;536,5;562,5;
00:00:10,900;364,1;510,7;524,7;542,8;566,8;
00:00:10,950;365,4;507,5;531,0;541,4;563,8;
00:00:11,000;166,0;496,5;502,7;517,1;551,5;
00:00:11,050;357,2;503,2;514,3;524,0;553,2;
00:00:11,100;363,7;497,9;512,5;526,8;553,5;
00:00:11,150;364,0;505,3;515,7;531,5;559,3;
00:00:11,200;355,2;511,8;514,9;528,6;553,6;
00:00:11,250;272,1;499,2;516,2;526,3;547,6;
